pid,gender_DEMO,race_DEMO,orientation_heterosexual_DEMO,student_international_DEMO,student_1stGen_DEMO,parent_edu_mother_DEMO,parent_edu_father_DEMO,generation_DEMO,disability_DEMO
INS-W_946,2.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_947,1.0,White,1,0.0,0.0,1,1,0,0
INS-W_949,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_950,1.0,White,1,0.0,0.0,1,0,0,0
INS-W_951,2.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_952,2.0,White,1,0.0,0.0,0,0,1,0
INS-W_953,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_954,2.0,Latinx,1,0.0,1.0,0,0,0,0
INS-W_955,1.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_956,1.0,Latinx,1,0.0,1.0,0,0,0,0
INS-W_957,1.0,White,1,0.0,0.0,0,0,0,0
INS-W_958,1.0,Asian,1,0.0,0.0,0,1,0,0
INS-W_960,2.0,White,1,0.0,0.0,0,0,1,0
INS-W_961,2.0,Biracial,0,0.0,1.0,0,1,0,0
INS-W_962,1.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_963,2.0,Asian,1,0.0,0.0,0,0,1,0
INS-W_964,2.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_965,1.0,Biracial,0,0.0,0.0,0,1,0,0
INS-W_966,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_967,1.0,Latinx,1,0.0,1.0,0,0,0,0
INS-W_968,1.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_969,1.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_970,2.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_971,2.0,Latinx,1,0.0,1.0,0,0,0,0
INS-W_972,2.0,White,1,0.0,0.0,1,0,0,0
INS-W_973,1.0,White,1,0.0,0.0,0,1,0,0
INS-W_974,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_975,1.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_976,2.0,White,0,0.0,0.0,1,1,0,0
INS-W_977,2.0,Biracial,1,0.0,0.0,0,0,0,0
INS-W_978,2.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_979,1.0,White,1,0.0,1.0,0,0,0,0
INS-W_980,2.0,White,0,0.0,0.0,0,1,0,0
INS-W_981,1.0,Asian,1,1.0,0.0,0,0,1,0
INS-W_982,1.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_983,1.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_984,1.0,Asian,1,1.0,0.0,0,0,1,0
INS-W_985,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_986,2.0,Asian,0,0.0,0.0,0,0,1,0
INS-W_987,1.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_988,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_989,2.0,Biracial,1,0.0,0.0,1,0,0,0
INS-W_990,1.0,White,1,0.0,0.0,0,0,0,0
INS-W_991,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_992,2.0,White,1,0.0,0.0,1,1,0,0
INS-W_993,2.0,Latinx,1,0.0,1.0,0,0,0,0
INS-W_994,1.0,Latinx,1,0.0,1.0,0,0,1,0
INS-W_995,2.0,White,1,0.0,1.0,0,0,0,0
INS-W_996,2.0,Biracial,0,0.0,0.0,0,0,0,0
INS-W_997,1.0,White,1,0.0,0.0,1,0,0,0
INS-W_998,1.0,Biracial,1,1.0,0.0,0,0,1,0
INS-W_999,1.0,Asian,1,1.0,0.0,0,1,1,0
INS-W_1000,2.0,Latinx,0,0.0,1.0,0,0,0,0
INS-W_1001,2.0,Biracial,0,0.0,0.0,0,0,0,0
INS-W_1002,1.0,Asian,1,1.0,0.0,1,0,0,0
INS-W_1003,2.0,White,0,0.0,0.0,0,0,0,0
INS-W_1004,2.0,White,1,0.0,0.0,0,1,0,0
INS-W_1005,1.0,White,1,0.0,0.0,0,0,1,0
INS-W_1006,2.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_1007,1.0,White,0,0.0,0.0,1,1,0,0
INS-W_1008,2.0,Latinx,0,0.0,1.0,0,0,0,0
INS-W_1009,1.0,Latinx,1,0.0,0.0,0,0,0,0
INS-W_1010,2.0,Asian,1,0.0,0.0,0,1,0,0
INS-W_1011,2.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_1012,1.0,White,1,0.0,0.0,0,0,0,0
INS-W_1013,2.0,Latinx,1,0.0,1.0,0,0,1,0
INS-W_1014,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_1015,2.0,White,1,0.0,0.0,1,0,0,0
INS-W_1016,2.0,White,1,0.0,1.0,0,0,0,0
INS-W_1017,2.0,Asian,1,1.0,1.0,0,0,1,0
INS-W_1018,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_1019,2.0,Asian,0,0.0,0.0,0,0,0,0
INS-W_1020,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_1021,,,0,,,0,0,1,0
INS-W_1022,1.0,White,1,0.0,1.0,0,0,0,0
INS-W_1023,2.0,Latinx,0,0.0,1.0,0,0,0,0
INS-W_1024,2.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_1025,2.0,Latinx,0,0.0,1.0,0,0,0,0
INS-W_1026,1.0,Asian,1,1.0,1.0,0,0,1,0
INS-W_1027,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_1028,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_1029,2.0,Asian,0,0.0,0.0,1,0,0,0
INS-W_1030,2.0,Asian,0,0.0,0.0,0,0,0,0
INS-W_1031,1.0,White,1,0.0,0.0,0,1,0,0
INS-W_1032,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_1033,2.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_1034,2.0,White,0,0.0,1.0,0,1,0,0
INS-W_1035,1.0,Black,1,0.0,1.0,0,1,0,0
INS-W_1036,2.0,Asian,1,0.0,0.0,0,0,0,0
INS-W_1037,2.0,Asian,0,0.0,0.0,0,0,0,0
INS-W_1038,1.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_1039,2.0,Black,0,0.0,1.0,0,0,1,0
INS-W_1040,2.0,White,0,0.0,0.0,0,0,0,0
INS-W_1041,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_1042,2.0,White,1,0.0,0.0,1,1,0,0
INS-W_1043,2.0,Asian,1,0.0,1.0,0,0,1,0
INS-W_1044,1.0,White,1,0.0,0.0,1,0,0,0
INS-W_1045,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_1046,1.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_1047,5.0,White,0,0.0,0.0,0,0,0,0
INS-W_1048,2.0,White,1,0.0,0.0,1,1,0,0
INS-W_1049,2.0,Asian,1,1.0,0.0,0,0,1,0
INS-W_1050,2.0,White,1,0.0,0.0,0,0,0,0
INS-W_1051,2.0,Biracial,1,0.0,0.0,0,0,0,0
INS-W_1053,1.0,White,1,0.0,1.0,0,0,0,0
INS-W_1054,2.0,Biracial,1,0.0,0.0,0,0,0,0
INS-W_1055,2.0,Asian,1,1.0,0.0,1,0,1,0
INS-W_1056,1.0,Asian,1,1.0,0.0,0,0,0,0
INS-W_1057,1.0,Asian,1,0.0,0.0,1,0,1,0
INS-W_1058,2.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_1059,2.0,White,1,1.0,0.0,1,0,1,0
INS-W_1060,2.0,Biracial,1,0.0,0.0,0,0,0,0
INS-W_1061,2.0,Biracial,1,0.0,0.0,0,0,0,0
INS-W_1062,1.0,Black,1,0.0,0.0,1,1,0,0
INS-W_1063,5.0,Asian,0,0.0,0.0,0,0,1,0
INS-W_1064,2.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_1065,2.0,Biracial,0,0.0,0.0,1,1,0,0
INS-W_1066,1.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_1067,1.0,White,0,0.0,0.0,1,0,0,0
INS-W_1068,2.0,Asian,1,0.0,0.0,0,1,0,0
INS-W_1069,1.0,Asian,1,0.0,0.0,1,0,0,0
INS-W_1070,2.0,Asian,0,0.0,0.0,0,1,0,0
INS-W_1071,1.0,Asian,1,0.0,0.0,0,0,1,0
INS-W_1072,2.0,Asian,1,0.0,0.0,1,0,1,0
INS-W_1073,2.0,Asian,1,0.0,0.0,0,1,0,0
INS-W_1074,2.0,Latinx,1,0.0,1.0,0,0,0,0
INS-W_1076,1.0,Asian,0,0.0,0.0,0,0,0,0
INS-W_1077,2.0,Black,1,0.0,1.0,0,0,0,0
INS-W_1078,1.0,White,1,0.0,1.0,0,0,0,0
INS-W_1079,2.0,Asian,0,0.0,0.0,0,0,0,0
INS-W_1080,1.0,White,1,0.0,0.0,1,1,0,0
INS-W_1081,2.0,Asian,1,,,1,1,1,0
INS-W_1082,6.0,Asian,0,0.0,0.0,0,0,1,0
INS-W_1083,2.0,Asian,1,0.0,0.0,0,1,0,0
INS-W_1084,2.0,Asian,0,0.0,1.0,0,0,1,0
INS-W_1086,2.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_1087,1.0,Latinx,1,0.0,1.0,0,0,0,0
INS-W_1088,2.0,Asian,1,0.0,0.0,0,0,1,0
INS-W_1200,2.0,Asian,1,0.0,0.0,0,1,1,1
INS-W_1201,2.0,White,1,0.0,1.0,0,0,0,1
INS-W_1202,2.0,White,0,1.0,0.0,1,1,1,1
INS-W_1203,2.0,Biracial,1,0.0,1.0,0,0,0,0
INS-W_1204,2.0,Asian,0,2.0,2.0,0,0,1,0
INS-W_1205,1.0,Asian,1,0.0,0.0,1,1,0,0
INS-W_1206,2.0,White,1,0.0,0.0,1,1,0,0
INS-W_1207,1.0,White,1,0.0,0.0,0,0,0,1
INS-W_1209,2.0,White,0,0.0,0.0,0,0,0,0
INS-W_1210,2.0,White,0,0.0,0.0,0,0,0,1
INS-W_1211,2.0,Asian,1,0.0,1.0,0,0,0,0
INS-W_1212,4.0,White,0,0.0,0.0,1,0,0,1
INS-W_1213,1.0,Asian,1,0.0,1.0,0,1,0,1
INS-W_1214,2.0,Asian,1,0.0,1.0,1,1,1,0
INS-W_1215,2.0,White,1,0.0,0.0,1,0,0,0
INS-W_1216,2.0,Asian,1,0.0,2.0,0,0,0,1
INS-W_1217,2.0,Biracial,0,0.0,0.0,0,1,0,1
INS-W_1218,2.0,White,0,0.0,0.0,0,0,0,1
INS-W_1219,1.0,Biracial,0,0.0,1.0,0,0,0,1
INS-W_1220,2.0,Asian,0,0.0,0.0,0,0,1,1
INS-W_1221,1.0,Asian,0,0.0,1.0,0,0,1,1
INS-W_1222,2.0,Asian,1,0.0,1.0,0,0,0,1
INS-W_1223,3.0,Asian,0,0.0,0.0,0,0,0,1
INS-W_1224,4.0,White,0,0.0,0.0,1,0,0,1
