pid,gender_DEMO,race_DEMO,orientation_heterosexual_DEMO,student_international_DEMO,student_1stGen_DEMO,parent_edu_mother_DEMO,parent_edu_father_DEMO,generation_DEMO,disability_DEMO
INS-W_691,2.0,Asian,1,0,0,1,1,0,0
INS-W_692,1.0,Biracial,1,0,0,0,0,0,0
INS-W_693,1.0,Latinx,1,0,1,0,0,1,0
INS-W_694,2.0,Asian,1,0,2,0,0,0,1
INS-W_696,1.0,White,1,0,0,0,0,0,1
INS-W_697,4.0,Latinx,0,0,1,0,0,0,0
INS-W_698,1.0,White,1,0,1,0,0,0,0
INS-W_699,5.0,White,0,0,0,0,0,0,0
INS-W_700,1.0,Asian,0,1,0,1,0,1,0
INS-W_701,1.0,White,1,0,1,0,0,0,0
INS-W_705,2.0,Latinx,0,0,1,0,0,0,0
INS-W_706,1.0,White,1,0,1,0,0,0,0
INS-W_707,2.0,Biracial,0,0,0,0,0,0,0
INS-W_708,2.0,White,0,0,0,1,0,0,1
INS-W_709,2.0,Asian,1,0,0,0,1,0,1
INS-W_710,2.0,Biracial,1,0,0,1,0,0,0
INS-W_711,2.0,Asian,1,0,0,0,1,0,1
INS-W_712,1.0,Biracial,1,0,0,0,0,0,0
INS-W_713,1.0,Asian,1,0,1,0,0,0,0
INS-W_714,2.0,Asian,0,0,0,0,0,0,0
INS-W_715,1.0,White,1,0,0,1,0,0,1
INS-W_717,2.0,Asian,0,0,1,0,0,1,0
INS-W_718,1.0,Asian,1,0,1,0,0,0,1
INS-W_719,1.0,White,1,0,0,0,0,0,0
INS-W_720,2.0,Asian,0,2,1,0,0,0,1
INS-W_721,2.0,Asian,1,0,0,1,1,0,0
INS-W_722,2.0,Asian,1,0,1,0,0,1,0
INS-W_723,2.0,White,1,0,0,1,0,0,1
INS-W_724,2.0,White,0,0,0,0,0,0,1
INS-W_725,2.0,Biracial,1,0,0,0,0,0,0
INS-W_726,1.0,White,1,0,0,1,0,0,0
INS-W_727,1.0,Asian,1,0,0,1,1,0,0
INS-W_728,1.0,White,1,0,0,1,1,0,0
INS-W_729,1.0,White,1,0,0,0,0,0,0
INS-W_730,2.0,Asian,0,0,1,0,0,1,1
INS-W_731,1.0,White,1,0,0,1,1,0,0
INS-W_732,1.0,White,1,0,0,1,1,0,0
INS-W_734,2.0,White,0,0,0,0,0,0,0
INS-W_735,1.0,White,1,0,0,0,1,0,0
INS-W_737,2.0,Latinx,0,0,1,0,0,0,0
INS-W_738,1.0,Asian,0,0,1,0,0,1,0
INS-W_739,1.0,Asian,1,1,1,0,0,1,0
INS-W_740,1.0,Asian,1,0,1,0,0,0,0
INS-W_741,1.0,White,1,1,0,0,0,1,0
INS-W_742,2.0,Asian,1,0,0,0,1,1,1
INS-W_743,2.0,White,1,0,0,0,1,0,0
INS-W_744,2.0,Asian,1,0,0,0,1,0,0
INS-W_746,2.0,Asian,1,0,1,0,0,1,0
INS-W_747,1.0,Asian,0,1,0,0,0,1,0
INS-W_750,1.0,Biracial,1,0,0,0,0,0,0
INS-W_751,2.0,Asian,1,1,0,0,1,1,0
INS-W_753,1.0,Asian,1,1,0,0,0,1,0
INS-W_754,2.0,Latinx,1,0,1,0,0,0,0
INS-W_755,1.0,Black,1,0,0,0,1,0,0
INS-W_756,2.0,Asian,1,0,0,1,1,1,0
INS-W_757,1.0,Asian,1,0,0,0,1,0,0
INS-W_758,2.0,Asian,1,0,0,0,0,0,0
INS-W_759,2.0,Asian,1,0,1,0,0,0,1
INS-W_760,2.0,Asian,1,1,1,0,0,1,0
